pos:abbrev|conj|conj_sub|digit|foreign|interj|part|part_det|part_focus|part_fut|part_interrog|part_neg|part_restrict|part_verb|part_voc|prep|punc per:na asp:na vox:na mod:na stt:na cas:na rat:na
pos:adj|adj_comp|adj_num per:na asp:na vox:na mod:na stt:c|d|i cas:a|g|n|u rat:n
pos:adv|adv_interrog|adv_rel|pron_interrog per:na asp:na vox:na mod:na stt:i cas:u rat:y
pos:noun per:na asp:na vox:na mod:na stt:c|d|i cas:a|g|n|u rat:i|r
pos:noun_num per:na asp:na vox:na mod:na stt:c cas:a|g|n rat:n
pos:noun_num per:na asp:na vox:na mod:na stt:d|i cas:a|g|n|u rat:n
pos:noun_prop per:na asp:na vox:na mod:na stt:c|d|i cas:a|g|n|u rat:i
pos:noun_prop per:na asp:na vox:na mod:na stt:c|d cas:a|g|n|u rat:r
pos:noun_prop per:na asp:na vox:na mod:na stt:i cas:a|g|u rat:r
pos:noun_prop per:na asp:na vox:na mod:na stt:d|i cas:u rat:y
pos:noun_prop per:na asp:na vox:na mod:na stt:i cas:u rat:u
pos:noun_prop per:na asp:na vox:na mod:na stt:d cas:g|u rat:u
pos:noun_quant per:na asp:na vox:na mod:na stt:c|i cas:a|g|n|u rat:n
pos:noun_quant per:na asp:na vox:na mod:na stt:d cas:a|g|n rat:n
pos:pron per:1|2|3 asp:na vox:na mod:na stt:i cas:n rat:y
pos:pron_dem per:na asp:na vox:na mod:na stt:i cas:a|n|u rat:y
pos:pron_interrog per:na asp:na vox:na mod:na stt:c|i cas:a|g|n rat:n
pos:pron_rel per:na asp:na vox:na mod:na stt:i cas:a|g|n|u rat:y
pos:pron_rel per:na asp:na vox:na mod:na stt:c cas:a|g rat:y
pos:verb per:1|2|3 asp:i vox:a mod:i|j|s stt:na cas:na rat:n
pos:verb per:1|2|3 asp:i vox:p mod:i|s stt:na cas:na rat:n
pos:verb per:1|2|3 asp:p vox:a mod:i stt:na cas:na rat:n
pos:verb per:1|3 asp:p vox:p mod:i stt:na cas:na rat:n
pos:verb per:2 asp:c vox:a mod:i stt:na cas:na rat:n
pos:verb per:2|3 asp:i vox:a mod:u stt:na cas:na rat:n
pos:verb per:2|3 asp:i vox:p mod:j stt:na cas:na rat:n
pos:verb per:3 asp:i vox:p mod:u stt:na cas:na rat:n
pos:verb per:3 asp:na vox:na mod:na stt:na cas:na rat:n
pos:verb per:3 asp:p vox:a mod:u stt:na cas:na rat:n
pos:verb per:3 asp:p vox:u mod:i stt:na cas:na rat:n
pos:verb_pseudo per:na asp:na vox:na mod:na stt:na cas:na rat:n
